AREA_NAME,ECODE,1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms
WALES,W92000004,400.00,495.00,550.00,750.00
Isle of Anglesey ,W06000001,400.00,475.00,550.00,695.00
Gwynedd ,W06000002,350.00,450.00,545.00,625.00
Conwy ,W06000003,395.00,525.00,625.00,792.50
Denbighshire ,W06000004,363.33,500.00,595.00,750.00
Flintshire ,W06000005,429.17,550.00,600.00,837.50
Wrexham ,W06000006,425.00,500.00,575.00,750.00
Powys ,W06000023,325.00,425.00,500.00,650.00
Ceredigion ,W06000008,460.00,550.00,590.00,675.00
Pembrokeshire ,W06000009,375.00,475.00,550.00,675.00
Carmarthenshire ,W06000010,366.67,435.33,495.00,600.00
Swansea ,W06000011,475.00,495.00,550.00,795.00
Neath Port Talbot ,W06000012,368.00,425.00,475.00,600.00
Bridgend ,W06000013,400.00,480.00,550.00,750.00
Vale of Glamorgan ,W06000014,450.02,550.00,650.00,850.00
Cardiff ,W06000015,500.00,600.00,750.00,1020.00
Rhondda Cynon Taf ,W06000016,348.34,400.00,450.00,600.00
Merthyr Tydfil ,W06000024,327.00,400.00,450.00,650.00
Caerphilly ,W06000018,350.00,450.00,495.00,650.00
Blaenau Gwent ,W06000019,303.00,370.00,425.00,460.00
Torfaen ,W06000020,395.00,475.00,525.00,700.00
Monmouthshire ,W06000021,430.00,550.00,650.00,850.00
Newport ,W06000022,400.00,495.00,565.00,795.00
